Reference;DistributionStatus;wdDistributionStatusCountryCode;CountryOrigin;wdCountryOriginCountryCode;NotificationFrom;wdNotificationFromCountryCode;DateOfCase;LastUpdate;Classifications;ActionTaken;Product;ProductCategory;RiskDecision;HazardSubstance;HazardAnalyticalResult;HazardUnits;HazardSamplingDate;Subject.description,,,,,,,,
20.170.121;Latvia;Q211;Russia;Q159;Latvia;Q211;30/01/2017;30/01/2017;feed  -  information for attention  -  border control - consignment released;informing authorities;fodder yeast;feed materials;not serious;suspicion of adulteration;unlabelled urea: 2.3;%;31/12/2016;suspicion of adulteration (unlabelled urea: 2.3 %) of fodder yeast from Russia,,,,,,,,
2017.ANL;Latvia;Q211;Russia;Q159;Latvia;Q211;28/03/2017;29/03/2017;feed  -  border rejection  -  border control - consignment detained;official detention;fodder yeast;feed materials;not serious;suspicion of adulteration;unlabelled urea: 0.5;%;04/03/2017;suspicion of adulteration (unlabelled urea: 0.5 %) of fodder yeast from Russia,,,,,,,,
2017.ANJ;Latvia;Q211;Russia;Q159;Latvia;Q211;27/03/2017;28/03/2017;feed  -  border rejection  -  border control - consignment detained;official detention;fodder yeast;feed materials;not serious;suspicion of adulteration;unlabelled urea: 0,43;%;04/03/2017;suspicion of adulteration (unlabelled urea: 0,43 %) of fodder yeast from Russia,,,,,,
20.170.545;Latvia;Q211;Russia;Q159;Latvia;Q211;28/04/2017;05/05/2017;feed  -  information for attention  -  border control - consignment released;informing authorities;fodder yeast;feed materials;not serious;suspicion of adulteration;unlabelled urea: 0.4;%;19/03/2017;suspicion of adulteration (unlabelled urea: 0.4 %) of fodder yeast from Russia,,,,,,,,
20.170.114;Latvia;Q211;Russia;Q159;Latvia;Q211;27/01/2017;27/01/2017;feed  -  information for attention  -  border control - consignment released;informing authorities;fodder yeast;feed materials;not serious;suspicion of adulteration;unlabelled urea: 2;%;02/01/2017;suspicion of adulteration (unlabelled urea: 2 %) of fodder yeast from Russia,,,,,,,,
20.170.034;Latvia;Q211;Russia;Q159;Latvia;Q211;09/01/2017;29/03/2017;feed  -  information for attention  -  official control on the market;withdrawal from recipient(s);yeast for feed;feed materials;serious;suspicion of adulteration;not labelled urea: 12;%;17/11/2016;suspicion of adulteration (not labelled urea: 12 %) of yeast for feed from Russia,,,,,,,,
20.171.311;Latvia;Q211;Poland;Q36;Latvia;Q211;30/08/2017;30/08/2017;feed  -  information for follow-up  -  official control on the market;detained by operator;poultry meal;feed materials;not serious;suspicion of adulteration;unlabelled urea: 0.6;%;16/08/2017;suspicion of adulteration (unlabelled urea: 0.6 %) of poultry meal from Poland,,,,,,,,
2013.CCR;Latvia;Q211;Ukraine;Q212;Latvia;Q211;16/12/2013;12/01/2018;food  -  border rejection  -  border control - consignment detained;use for other purpose than food/feed;sunflower oil;fats and oils;not serious;improper health certificate(s);;;;improper health certificate(s) for sunflower oil from Ukraine,,,,,,,,
2017.BOE;Latvia;Q211;Russia;Q159;Latvia;Q211;25/08/2017;07/09/2017;feed  -  border rejection  -  border control - consignment detained;informing authorities;fodder yeast;feed materials;not serious;suspicion of adulteration;unlabelled urea: 0.17;%;06/08/2017;suspicion of adulteration (unlabelled urea: 0.17 %) of fodder yeast from Russia,,,,,,,,
20.130.527;Latvia;Q211;Poland;Q36;Latvia;Q211;11/04/2013;20/05/2013;food  -  information for attention  -  official control on the market;informing authorities;smoked sausage;meat and meat products (other than poultry);not serious;adulteration;horse DNA 9%;%;04/03/2013;adulteration (horse DNA 9% %) of smoked sausage from Lithuania, with raw material from Poland,,,,,,,
2006.CVF;Latvia;Q211;Brazil;Q155;Latvia;Q211;08/12/2006;;Feed  -  information  -  border control - consignment detained;seizure;feather and blood meal for use in pet food;pet food;undecided;fraudulent health certificate(s);;;;fraudulent health certificate(s) for feather and blood meal for use in pet food from Brazil,,,,,,,,
20.170.115;Latvia;Q211;Russia;Q159;Latvia;Q211;27/01/2017;29/03/2017;feed  -  information for attention  -  border control - consignment released;seizure;fodder yeast;feed materials;serious;suspicion of adulteration;unlabelled urea: 12;%;09/01/2017;suspicion of adulteration (unlabelled urea: 12 %) of fodder yeast from Russia,,,,,,,,
20.171.105;Latvia;Q211;Russia;Q159;Latvia;Q211;27/07/2017;04/08/2017;feed  -  information for attention  -  border control - consignment released;;fodder yeast;feed materials;not serious;suspicion of adulteration;unlabelled urea: 0.24;%;24/06/2017;suspicion of adulteration (unlabelled urea: 0.24 %) of fodder yeast from Russia,,,,,,,,
20.170.117;Latvia;Q211;Russia;Q159;Latvia;Q211;27/01/2017;27/01/2017;feed  -  information for attention  -  border control - consignment released;informing authorities;fodder yeast;feed materials;not serious;suspicion of adulteration;unlabelled urea: 2.1;%;29/12/2016;suspicion of adulteration (unlabelled urea: 2.1 %) of fodder yeast from Russia,,,,,,,,
2005.CVF;Latvia;Q211;Brazil;Q155;Latvia;Q211;08/11/2005;08/03/2010;Food  -  information  -  border control - consignment detained;destruction;frozen bovine meat;meat and meat products (other than poultry);undecided;attempt to illegally import;;;;attempt to illegally import frozen bovine meat from Brazil,,,,,,,,
2011.CFX;Latvia;Q211;Kazakhstan;Q232;Latvia;Q211;02/11/2011;31/05/2017;food  -  border rejection  -  border control - consignment detained;official detention;organic rice;cereals and bakery products;undecided;absence of health certificate(s);;;;absence of health certificate(s) for organic rice from Kazakhstan,,,,,,,,
2017.ANM;Latvia;Q211;Russia;Q159;Latvia;Q211;28/03/2017;30/03/2017;feed  -  border rejection  -  border control - consignment detained;official detention;fodder yeast;feed materials;not serious;suspicion of adulteration;unlabelled urea: 1;%;04/03/2017;suspicion of adulteration (unlabelled urea: 1 %) of fodder yeast from Russia,,,,,,,,
2017.ANI;Latvia;Q211;Russia;Q159;Latvia;Q211;27/03/2017;28/03/2017;feed  -  border rejection  -  border control - consignment detained;official detention;fodder yeast;feed materials;not serious;suspicion of adulteration;unlabelled urea: 0.9;%;04/03/2017;suspicion of adulteration (unlabelled urea: 0.9 %) of fodder yeast from Russia,,,,,,,,
20.170.116;Latvia;Q211;Russia;Q159;Latvia;Q211;27/01/2017;27/01/2017;feed  -  information for attention  -  border control - consignment released;informing authorities;fodder yeast;feed materials;not serious;suspicion of adulteration;unlabelled urea: 2.4;%;03/01/2017;suspicion of adulteration (unlabelled urea: 2.4 %) of fodder yeast from Russia,,,,,,,,
2011.BDS;Lithuania;Q37;Mauritania;Q1025;Lithuania;Q37;19/05/2011;12/01/2018;feed  -  border rejection  -  border control - consignment detained;(obsolete);fish meal;feed materials;undecided;improper health certificate(s);;;;improper health certificate(s) for fish meal from Mauritania,,,,,,,,
2005.CNA;Lithuania;Q37;Germany;Q183;Lithuania;Q37;29/09/2005;;Food  -  information  -  border control - consignment detained;re-dispatch;frozen horse meat;meat and meat products (other than poultry);undecided;suspicion of attempt to illegally import;;;;suspicion of attempt to illegally import frozen horse meat from Argentina via Germany,,,,,,,,
20.130.295;Lithuania;Q37;Latvia;Q211;Lithuania;Q37;05/03/2013;18/04/2013;food  -  information for follow-up  -  official control on the market;withdrawal from the market;beef stewed;meat and meat products (other than poultry);not serious;adulteration;presence of horse DNA ~20%;;28/02/2013;adulteration (presence of horse DNA ~20%) of beef stewed from Latvia,,,,,,,,
2005.CNJ;Lithuania;Q37;Brazil;Q155;Lithuania;Q37;03/10/2005;;Food  -  information  -  border control - consignment detained;re-dispatch;frozen pork;meat and meat products (other than poultry);undecided;attempt to illegally import;;;;illegal import of frozen pork from Brazil,,,,,,,,
2005.CSS;Lithuania;Q37;Brazil;Q155;Lithuania;Q37;26/10/2005;;Food  -  information  -  border control - consignment detained;re-dispatch;animal by-products;meat and meat products (other than poultry);undecided;unauthorised transit;;;;unauthorised transit of animal by-products from Brazil,,,,,,,,
2005.CSU;Lithuania;Q37;Argentina;Q414;Lithuania;Q37;26/10/2005;;Food  -  information  -  border control - consignment detained;re-dispatch;animal by-products;meat and meat products (other than poultry);undecided;unauthorised transit;;;;unauthorised transit of animal by-products from Argentina,,,,,,,,
2005.CST;Lithuania;Q37;Argentina;Q414;Lithuania;Q37;26/10/2005;;Food  -  information  -  border control - consignment detained;re-dispatch;animal by-products;meat and meat products (other than poultry);undecided;unauthorised transit;;;;unauthorised transit of animal by-products from Argentina,,,,,,,,
2005.CSV;Lithuania;Q37;Brazil;Q155;Lithuania;Q37;26/10/2005;;Food  -  information  -  border control - consignment detained;re-dispatch;animal by-products;meat and meat products (other than poultry);undecided;unauthorised transit;;;;unauthorised transit of animal by-products from Brazil,,,,,,,,
2005.CSR;Lithuania;Q37;Brazil;Q155;Lithuania;Q37;25/10/2005;;Food  -  information  -  border control - consignment detained;re-dispatch;boneless pork;meat and meat products (other than poultry);undecided;unauthorised transit;;;;unauthorised transit of boneless pork from Brazil,,,,,,,,
2007.AYP;Lithuania;Q37;Brazil;Q155;Lithuania;Q37;17/04/2007;;food  -  information  -  border control - consignment detained;re-dispatch;frozen beef;meat and meat products (other than poultry);undecided;unauthorised transit;;;;unauthorised transit of frozen beef from Brazil,,,,,,,,
2005.CMZ;Lithuania;Q37;Brazil;Q155;Lithuania;Q37;29/09/2005;11/02/2011;Food  -  information  -  border control - consignment detained;re-dispatch;frozen beef tongue;meat and meat products (other than poultry);undecided;suspicion of attempt to illegally import;;;;suspicion of attempt to illegally import frozen beef tongue from Brazil,,,,,,,,
2005.CSJ;Lithuania;Q37;Brazil;Q155;Lithuania;Q37;24/10/2005;;Food  -  information  -  border control - consignment detained;re-dispatch;boneless pork;meat and meat products (other than poultry);undecided;unauthorised transit;;;;unauthorised transit of boneless pork from Brazil,,,,,,,,
20.120.488;Lithuania;Q37;Poland;Q36;Lithuania;Q37;03/04/2012;04/05/2012;food  -  information for follow-up  -  official control on the market;destruction;egg powder;eggs and egg products;undecided;suspicion of fraud;;;;suspicion of fraud in relation to and incorrect expiry date of egg powder from Poland,,,,,,,,
20.090.087;Lithuania;Q37;Czech Republic;Q213;Latvia;Q211;27/01/2009;22/10/2015;food  -  alert  -  consumer complaint;destruction;fruit mash for babies;dietetic foods, food supplements, fortified foods;undecided;suspicion of fraud - expiry dates changed;;;;suspicion of fraud - expiry dates changed of fruit mash for babies from the Czech Republic,,,,,,
2006.CQH;Lithuania;Q37;South Korea;Q884;Lithuania;Q37;15/11/2006;;food  -  information  -  border control - consignment detained;official detention;boiled frozen king crab sections;crustaceans and products thereof;undecided;fraudulent health certificate(s);;;;fraudulent health certificate(s) for boiled frozen king crab sections from the Republic of Korea,,,,,,,,
2005.CSF;Lithuania;Q37;Brazil;Q155;Lithuania;Q37;24/10/2005;;Food  -  information  -  border control - consignment detained;re-dispatch;boneless pork;meat and meat products (other than poultry);undecided;attempt to illegally import;;;;illegal import of boneless pork from Brazil,,,,,,,,
2005.CPE;Lithuania;Q37;Brazil;Q155;Lithuania;Q37;11/10/2005;;Food  -  information  -  border control - consignment detained;re-dispatch;boneless pork;meat and meat products (other than poultry);undecided;attempt to illegally import;;;;illegal import of boneless pork from Brazil,,,,,,,,
2005.CRS;Lithuania;Q37;Brazil;Q155;Lithuania;Q37;21/10/2005;;Food  -  information  -  border control - consignment detained;re-dispatch;boneless pork;meat and meat products (other than poultry);undecided;unauthorised transit;;;;unauthorised transit of boneless pork from Brazil,,,,,,,,
20.130.507;Lithuania;Q37;Estonia;Q191;Latvia;Q211;10/04/2013;22/10/2015;food  -  information for follow-up  -  official control on the market;withdrawal from the market;parmesan smoked sausage;meat and meat products (other than poultry);not serious;adulteration;detection of horse DNA 10;%;01/03/2013;adulteration (detection of horse DNA 10 %) of parmesan smoked sausage from Estonia,,,,,,,,
20.130.578;Luxembourg;Q32;France;Q142;Luxembourg;Q32;23/04/2013;06/05/2013;food  -  information for follow-up  -  official control on the market;seizure;chicken and beef couscous;prepared dishes and snacks;not serious;adulteration;13.4% of horse DNA;;20/03/2013;adulteration (13.4% of horse DNA) of chicken and beef couscous from France, via Belgium,,,,,,,
20.060.497;Luxembourg;Q32;Belgium;Q31;Luxembourg;Q32;10/08/2006;;food  -  alert  -  company's own check;seizure;American waffle mix;cereals and bakery products;undecided;suspicion of fraud - expiry dates changed;;;;suspicion of fraud - expiry dates changed of American waffle mix from Belgium,,,,,,,,
20.090.576;Luxembourg;Q32;Germany;Q183;Luxembourg;Q32;05/05/2009;11/01/2010;food  -  information  -  official control on the market;;manioc flour;fruits and vegetables;undecided;fraud - expiry dates changed;;;08/04/2009;fraud - expiry dates changed of manioc flour from Germany,,,,,,,,
2007.AIP;Malta;Q233;Brazil;Q155;Malta;Q233;07/02/2007;31/05/2017;food  -  information  -  border control - consignment detained;re-dispatch;corned beef;meat and meat products (other than poultry);undecided;absence of health certificate(s);;;;absence of health certificate(s) for corned beef from Brazil,,,,,,,,
2006.CWD;Malta;Q233;Turkey;Q43;Malta;Q233;14/12/2006;12/01/2018;food  -  information  -  border control - consignment detained;re-dispatch;chocolate confectionery containing hazelnuts;confectionery;undecided;improper health certificate(s);;;;improper health certificate(s) for chocolate confectionery containing hazelnuts from Turkey,,,,,,,,
